,start_date,country,region,subregion,oxford_government_response_category,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gathering,C4_Flag,C5_Closed public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income Support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,LegacyStringencyIndex,LegacyStringencyIndexForDisplay
880,2020-03-05,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2020-03-10,Canada,Alberta,Calgary,H2_Testing policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,2020-03-12,Canada,Alberta,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,2020-03-13,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,2020-03-14,Canada,Alberta,Edmonton,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2020-03-15,Canada,Alberta,Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,2020-03-15,Canada,Alberta,Edmonton,H2_Testing policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,2020-03-15,Canada,Alberta,,H3_Contact tracing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,2020-03-15,Canada,Alberta,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,2020-03-15,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2020-03-16,Canada,Alberta,Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,2020-03-16,Canada,Alberta,,C1_School closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2020-03-17,Canada,Alberta,Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,2020-03-17,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,2020-03-17,Canada,Alberta,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,2020-03-17,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,2020-03-17,Canada,Alberta,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,2020-03-17,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,2020-03-17,Canada,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2020-03-18,Canada,Alberta,Calgary,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
